Timestamp,Packet_Size,Src_IP,Dst_IP,Src_Port,Dst_Port,TCP_Flags,App
1740728640.826135,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728640.826135,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728640.830254,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728640.830254,702,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728640.830254,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728640.830254,702,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728640.830254,589,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728640.830348,54,192.168.100.93,34.96.118.58,62111,443,A,Chrome
1740728640.834778,118,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728640.835065,146,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728640.835411,1118,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728640.84631,672,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728640.84631,85,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728640.846379,54,192.168.100.93,34.96.118.58,62111,443,A,Chrome
1740728640.846745,85,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728640.852325,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728640.858105,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.111727,66,192.168.100.93,199.232.81.91,62114,443,S,Chrome
1740728641.175842,66,199.232.81.91,192.168.100.93,443,62114,SA,Chrome
1740728641.175916,54,192.168.100.93,199.232.81.91,62114,443,A,Chrome
1740728641.176849,1875,192.168.100.93,199.232.81.91,62114,443,PA,Chrome
1740728641.226558,60,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.226846,60,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.229226,1454,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.229226,1454,199.232.81.91,192.168.100.93,443,62114,PA,Chrome
1740728641.229226,1454,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.229226,979,199.232.81.91,192.168.100.93,443,62114,PA,Chrome
1740728641.229318,54,192.168.100.93,199.232.81.91,62114,443,A,Chrome
1740728641.233492,118,192.168.100.93,199.232.81.91,62114,443,PA,Chrome
1740728641.233842,146,192.168.100.93,199.232.81.91,62114,443,PA,Chrome
1740728641.234068,319,192.168.100.93,199.232.81.91,62114,443,PA,Chrome
1740728641.234146,391,192.168.100.93,199.232.81.91,62114,443,PA,Chrome
1740728641.281375,60,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.281375,60,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.281375,119,199.232.81.91,192.168.100.93,443,62114,PA,Chrome
1740728641.281853,60,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.282054,85,192.168.100.93,199.232.81.91,62114,443,PA,Chrome
